nrc_anger_disgust,mfd_hit_rate
0.019230769230769232,0.023809523809523808
0.08163265306122448,0.043478260869565216
0.09523809523809523,0.045454545454545456
0.019230769230769232,0.023255813953488372
0.019230769230769232,0.06818181818181818
0.0625,0.05
0.0,0.03636363636363636
0.04081632653061224,0.0
0.0,0.0
0.0,0.06382978723404255
0.01639344262295082,0.018518518518518517
0.01818181818181818,0.020833333333333332
0.045454545454545456,0.05555555555555555
0.0,0.02
0.08928571428571429,0.15555555555555556
0.0,0.038461538461538464
0.046511627906976744,0.05128205128205128
0.03571428571428571,0.0
0.0,0.10526315789473684
0.0,0.125
0.0,0.15555555555555556
0.07142857142857142,0.04
0.06666666666666667,0.06666666666666667
0.08,0.08695652173913043
0.0,0.021739130434782608
0.03389830508474576,0.12
0.04878048780487805,0.06060606060606061
0.0,0.07894736842105263
0.05128205128205128,0.0
0.09090909090909091,0.08108108108108109
0.0,0.0
0.0,0.046511627906976744
0.19230769230769232,0.0
0.041666666666666664,0.0
0.0,0.041666666666666664
0.0,0.037037037037037035
0.06666666666666667,0.058823529411764705
0.0,0.043478260869565216
0.1,0.058823529411764705
0.023255813953488372,0.08108108108108109
0.05263157894736842,0.09803921568627451
0.1875,0.1724137931034483
0.0,0.0625
0.09375,0.125
0.0,0.04
0.09259259259259259,0.12
0.0,0.0784313725490196
0.02127659574468085,0.10526315789473684
0.058823529411764705,0.07142857142857142
0.020833333333333332,0.06818181818181818
0.0,0.058823529411764705
0.0,0.038461538461538464
0.0,0.05128205128205128
0.08695652173913043,0.07407407407407407
